lang,ENGLISH,RUSSIAN,ITALIAN
,,,
cred_1,A game by:,Игра от:,Un gioco creato da:
,The Winterer,The Winterer,The Winterer
,Sad Bread,Sad Bread,Sad Bread
,,,
cred_2,Sockswald voiceactor:,Актёр озвучки Носоксвальда:,Doppiatore di Sockswald:
,IndoBones,IndoBones,IndoBones
,,,
cred_3,Playtesting:,Тестеры перевода:,Playtester:
,SeekStuff,SeekStuff,SeekStuff
,Alex (No not the one,Alex (No not the one,Alex (No not the one
,you're thinking of),you're thinking of),you're thinking of)
,,,
cred_4,Classic 2023 boss theme by:,Классическая тема битвы от:,Musica originale fatta da:
,Creepa-Bot Inc,Creepa-Bot Inc,Creepa-Bot Inc
,Local H00ligan,Local H00ligan,Local H00ligan
,,,
cred_5,Special thanks:,Особые благодарности:,Ringraziamenti speciali:
,L1zard,L1zard,L1zard
,Ramiyoru,Ramiyoru,Ramiyoru
,gamejolter541 (for ,gamejolter541 (for ,gamejolter541 (for 
,not caring),not caring),not caring)
,,,
cred_6,Russian translation by:,Русификатор от:,Traduzione russa fatta da:
,geefel,geefel,geefel
,Viput,Viput,Viput
,Lazarus,Lazarus,Lazarus
,NemoWilson,NemoWilson,NemoWilson
,,,
cred_7,Italian translation by:,Итальянский перевод от:,Traduzione italiana fatta da:
,L'Armadio,L'Armadio,L'Armadio
,Noobilly,Noobilly,Noobilly
,EL BROWN,EL BROWN,EL BROWN
,LaCreatura,LaCreatura,LaCreatura
,Andrea Bruzzone,Andrea Bruzzone,Andrea Bruzzone
,ErnestÄthor,ErnestÄthor,ErnestÄthor
,,,
cred_t,DELTARUNE (C) Toby Fox,DELTARUNE (C) Toby Fox,DELTARUNE (C) Toby Fox
cred_t2,Challenge mode music:,Музыка режима испытания:,Musica della Modalità Sfida:
,,,
,,,
,,,
start_text,Controls,Управление,Controlli
,[ARROW KEYS],[СТРЕЛКИ],[TASTI DIREZIONALI]
, - Move, - Двигаться,- Muovi
,[Z or ENTER],[Z или ENTER],[Z o INVIO]
, - Confirm, - Подтвердить ,- Conferma
,[X or SHIFT],[X или SHIFT],[X o SHIFT]
, - Cancel, - Отмена,- Cancella
